handleId,fieldType,name,description,productImageUrl,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,cost,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,additionalInfoTitle4,additionalInfoDescription4,additionalInfoTitle5,additionalInfoDescription5,additionalInfoTitle6,additionalInfoDescription6,customTextField1,customTextCharLimit1,customTextMandatory1,customTextField2,customTextCharLimit2,customTextMandatory2,brand
product_554f3609-8eba-19c6-46e1-2d4cccccf876,Product,Cipla Nicotex Nicotine Transdermal Patch 14mg | Helps to Quit Smoking  7 Patches,"<p><span style=""color:#ffffff;""><strong><span style=""background-color:#001e74;"">&nbsp; &nbsp;DTCI Fullfilled&nbsp; &nbsp;&nbsp;</span></strong></span></p><p><strong><span style=""color:#000000;"">Inclisve of all taxes</span></strong></p><p>&nbsp;The Cipla Nicotex Nicotine Transdermal Patch 14mg | Helps to Quit Smoking | 7 Patches&nbsp;aids you in your journey to stop smoking, reducing cravings and withdrawal symptoms. This clinically proven patch, endorsed by WHO, offers a reliable nicotine replacement therapy solution. Convenient and easy to use, it complements our comprehensive dental services, ensuring you maintain a radiant, healthy smile. Choose Cipla Nicotex with confidence and take the first step towards a smoke-free life and optimum oral well-being.</p>",b6120a_eb5d8a75971f4fd8b6c4cce75f25d260~mv2.jpg;b6120a_70c2e5d12b1c4f20afd9e5f3710aaf3b~mv2.jpg,Nicotine Patches,,| RS. 297,699.0,,true,PERCENT,15.0,InStock,,84.88,,,,,,,,,,,,,,,,,,,No Returns or Exchange,"<p>Please note that all sales are final. We do not accept returns or offer refunds or exchanges once a purchase is made. Kindly ensure that you review all product details and specifications before completing your order. If you have any questions prior to purchasing, feel free to contact us.</p>
",,,,,,,,,,,,,,,,,Nicotx
product_db95eeb3-5876-daf6-8606-4651a4f22a41,Product,Cipla Nicotex Nicotine Transdermal Patch | Helps to Quit Smoking | 7 Patches,"<p><span style=""color:#ffffff;""><strong><span style=""background-color:#001e74;"">&nbsp; &nbsp;DTCI Fullfilled&nbsp; &nbsp;</span></strong></span></p><p><strong>Inclusive all tax</strong></p><p>We prioritize your overall health and well-being, which is why we recommend the Cipla Nicotex Nicotine Transdermal Patch. This WHO-approved patch is designed to help you quit smoking effectively, enhancing not only your general health but also your dental health. Our professional team is committed to supporting your journey towards a healthier lifestyle. Trust in our expertise and comprehensive care to assist you in becoming smoke-free. Experience the benefits of a smoke-free life and improved oral health with Dentaltourismclinicsindia.</p>",b6120a_129c30c66a8c4f0d8cc802d26208d7c8~mv2.jpg;b6120a_c0aef3e90ad3477a861f882017c655f1~mv2.jpg,Nicotine Patches,,,599.0,,true,PERCENT,5.0,InStock,,81.29,,,,,,,,,,,,,,,,,,,No Returns or Exchange,"<p>Please note that all sales are final. We do not accept returns or offer refunds or exchanges once a purchase is made. Kindly ensure that you review all product details and specifications before completing your order. If you have any questions prior to purchasing, feel free to contact us.</p>
",,,,,,,,,,,,,,,,,Nicotex
product_95ea89fd-88d8-61cf-2fb1-f615f498a44b,Product,Nicogum 1mg Mint Plus Flavour Sugar Free Mini Lozenge 10'S,"<p><strong><span style=""color:#ffffff;""><span style=""background-color:#001e74;"">&nbsp; &nbsp;DTCI Fullfilled&nbsp; &nbsp;</span></span></strong></p><p><strong>Inclusive of all taxes</strong></p><p>&nbsp;These mini lozenges are perfect for dental patients seeking a minty fresh, sugar-free solution to curb cravings. Formulated with precision, they cater to those who value their oral hygiene while enjoying the benefits of a pleasant mint flavor. Ideal for travelers and dental tourists, Nicogum supports your journey toward better dental health without compromising on taste. Visit us and discover how our range of dental products align with our commitment to excellence in dental care.</p>",b6120a_103167de4ff6420496a9800d60067258~mv2.webp;b6120a_cfe271e9dec34ffeb9040ab18b24d795~mv2.webp,Nicotine Lozenges,,,80.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,No Returns or Exchange,"<p>Please note that all sales are final. We do not accept returns or offer refunds or exchanges once a purchase is made. Kindly ensure that you review all product details and specifications before completing your order. If you have any questions prior to purchasing, feel free to contact us.</p>
",,,,,,,,,,,,,,,,,
product_096d6b08-02fd-655f-ad1c-ab4893b26a32,Product,Cipla Nicotex Mints | Nicotine 2mg Lozenges (30 Pcs)| Helps Quit Smoking,"<p><span style=""color:#ffffff;""><font face=""HelveticaNeueW01-65Medi, HelveticaNeueW02-65Medi, HelveticaNeueW10-65Medi, sans-serif""><b><span style=""background-color:#001e74;"">&nbsp; DTCI Fullfilled&nbsp;&nbsp;</span></b></font></span></p><p><strong>Inclusive of all taxes</strong></p><p>We understand the importance of oral health and the challenges of quitting smoking. That's why we offer Cipla Nicotex Mints, a convenient solution to help you quit smoking. Each 2mg nicotine lozenge provides effective craving control and is sugar-free, ensuring it does not compromise your dental health. Designed to support your journey towards a healthier lifestyle, these lozenges are perfect for individuals seeking a smoke-free life with minimal impact on their oral care. Trust us to guide you every step of the way in enhancing your dental and overall health.</p>",b6120a_3a17bb7e390c4099a0a98d5bf0b7541c~mv2.webp;b6120a_4a8aea1d78734b5d99660bd8aa15e385~mv2.jpg,Nicotine Lozenges,,,283.0,,true,PERCENT,2.0,InStock,,277.0,,,,,,,,,,,,,,,,,,,No Returns or Exchange,"<p>Please note that all sales are final. We do not accept returns or offer refunds or exchanges once a purchase is made. Kindly ensure that you review all product details and specifications before completing your order. If you have any questions prior to purchasing, feel free to contact us.</p>
",,,,,,,,,,,,,,,,,Nicotex
product_9ecdb723-41d3-34b3-9ac3-0d506f2abe1f,Product,2baconil 2mg Nicotine Chewing Gum | Sugar-Free | Flavour Ice Mint,"<p><span style=""color:#ffffff;""><strong><span style=""background-color:#001e74;"">&nbsp; &nbsp;DTCI Fullfilled&nbsp; &nbsp;</span></strong></span></p><p><strong>Inclusive of all taxes</strong></p><p>&nbsp;This sugar-free gum with a refreshing Ice Mint flavor not only helps you in your journey to quit smoking but also aligns with our commitment to dental health. Perfect for patients who value oral care, our offering is both effective and enjoyable, making it simpler to protect your smile while achieving your wellness goals. Visit Dentaltourismclinicsindia to explore more about our dental services and start your healthier, smoke-free journey today.</p>",b6120a_a6583009616d45b48dd74d9ca0fe127a~mv2.avif;b6120a_e98511ef07254236a2c02ace9496286b~mv2.avif,Nicotex Gums,,,370.0,,true,PERCENT,2.0,InStock,,,,,,,,,,,,,,,,,,,,,No Returns or Exchange,"<p>Please note that all sales are final. We do not accept returns or offer refunds or exchanges once a purchase is made. Kindly ensure that you review all product details and specifications before completing your order. If you have any questions prior to purchasing, feel free to contact us.</p>
",,,,,,,,,,,,,,,,,Nicotex
product_e650b6dc-aaee-b77b-e812-80f7d811687c,Product,Nicosure Nicotine Gum- 4mg pack of 9-90Gums Tobacco Control Aid,"<p><strong><span style=""color:#ffffff;""><span style=""background-color:#001e74;"">&nbsp; &nbsp;DTCI Fullfilled&nbsp; &nbsp;</span></span></strong></p><p><strong>Inclusive of all taxes</strong></p><p>Nicosure Nicotine Polacrilex USP 4mg Gum in Spearmint flavor offers a sugar-free solution for those seeking effective nicotine replacement therapy. This gum is ideal for aiding in smoking cessation, promoting oral health while aligning with Dentaltourismclinicsindia's commitment to patient well-being. As a professional dental center, we prioritize providing our patients with products that support both their dental and general health. Make the smart choice for your health journey with our expert-approved, sugar-free nicotine gum.</p>",b6120a_f00de748f0c147c29d06fd6137310dea~mv2.avif;b6120a_b52929d9938842d5819449ef71e36fc5~mv2.avif,Nicotex Gums,,,909.0,,true,PERCENT,6.0,InStock,,,,,,,,,,,,,,,,,,,,,No Returns or Exchange,"<p>Please note that all sales are final. We do not accept returns or offer refunds or exchanges once a purchase is made. Kindly ensure that you review all product details and specifications before completing your order. If you have any questions prior to purchasing, feel free to contact us.</p>
",,,,,,,,,,,,,,,,,Nicotex
product_baa41a0b-7bb3-d5c7-407a-838aed4cca92,Product,Mint Nicosure Nicotine Polacrilex Lozenges 2mg,"<p><strong><span style=""color:#ffffff;""><span style=""background-color:#001e74;"">&nbsp; &nbsp;DTCI Fullfilled&nbsp; &nbsp;</span></span></strong></p><p><strong>Inclusive of all taxes</strong></p><p>Discover Mint Nicosure Nicotine Polacrilex Lozenges 2mg at Dentaltourismclinicsindia, your trusted partner in dental wellness. Designed to help manage nicotine cravings, these refreshing mint-flavored lozenges support your journey towards a healthier lifestyle. Their discreet format makes them perfect for patients seeking an easy, on-the-go solution. As leaders in dental tourism, we are committed to enhancing your overall well-being through our comprehensive range of top-quality products and services. Embrace a nicotine-free life with confidence, supported by the expert care at Dentaltourismclinicsindia.</p>",b6120a_3e292851b449487b9d2f6417b54f0527~mv2.webp;b6120a_bad67650e8ef4fa6b62af336e60af0aa~mv2.png,Nicotex Gums,,,400.0,,true,PERCENT,5.0,InStock,,,,,,,,,,,,,,,,,,,,,No Returns or Exchange,"<p>Please note that all sales are final. We do not accept returns or offer refunds or exchanges once a purchase is made. Kindly ensure that you review all product details and specifications before completing your order. If you have any questions prior to purchasing, feel free to contact us.</p>

<p>&nbsp;</p>
",,,,,,,,,,,,,,,,,
product_b28ec6cf-7169-6e7c-a883-4ea8351d9eed,Product,Nicogum 2 Nicotine Gum Fresh Mint,"<p><span style=""color:#ffffff;""><strong><span style=""background-color:#001e74;"">&nbsp; &nbsp;DTCI Fullfilled&nbsp; &nbsp;</span></strong></span></p><p>Inclusive of all taxes</p><p>Discover Nicogum 2 Nicotine Gum Fresh Mint at Dentaltourismclinicsindia, your trusted dental center. This gum effectively aids in quitting smoking while keeping your breath minty fresh. Our commitment to oral health ensures that Nicogum 2 supports your journey to better dental hygiene and overall health. Visit us to explore our range of professional dental services and let us help you maintain a radiant smile. Experience the benefits of quality dental care with us today.</p>",b6120a_526be8dac35e49c687e893b00fa0e5e6~mv2.avif;b6120a_41a96077c42c49dfbb4e5f4b9fe56ed7~mv2.avif,Nicotex Gums,,,110.0,,true,PERCENT,2.0,InStock,,,,,,,,,,,,,,,,,,,,,No Returns or Exchange,"<p>Please note that all sales are final. We do not accept returns or offer refunds or exchanges once a purchase is made. Kindly ensure that you review all product details and specifications before completing your order. If you have any questions prior to purchasing, feel free to contact us.</p>
",,,,,,,,,,,,,,,,,
product_caa62280-1650-607b-c095-e2b0c0867f35,Product,"Nicotex Gums, 4mg, Mint Plus - Strip, 12 Gums","<p><span style=""color:#ffffff;""><strong><span style=""background-color:#001e74;"">&nbsp; &nbsp;DTCI Fullfied&nbsp; &nbsp;</span></strong></span></p><p><strong>Inclusive of all taxes</strong></p><p>Experience a refreshing and effective way to quit smoking with Nicotex Gums, 4mg, Mint Plus - Strip, 12 Gums, now available at Dentaltourismclinicsindia. Designed for individuals ready to embrace a healthier lifestyle, these gums are tailored to help you manage nicotine cravings effortlessly. The mint flavor provides a pleasant taste, making the quitting process more enjoyable. Trust our dental experts to support your journey towards a smoke-free life, in line with our commitment to providing exceptional dental care and health services. Benefit from our professional guidance at Dentaltourismclinicsindia and make a positive change today.</p>",b6120a_7aec8d4639f74731bf2a300bd4ebf0c6~mv2.jpg,Nicotex Gums,,,149.0,,true,PERCENT,3.0,InStock,,,,,,,,,,,,,,,,,,,,,No Returns or Exchange,"<p>Please note that all sales are final. We do not accept returns or offer refunds or exchanges once a purchase is made. Kindly ensure that you review all product details and specifications before completing your order. If you have any questions prior to purchasing, feel free to contact us.</p>
",,,,,,,,,,,,,,,,,
product_c97c77e8-59ee-5556-0140-c571c05e6478,Product,Cipla Nicotex Nicotine Sugar Free Mint Plus Gums 2mg | Helps to Quit Smoking | W,"<p><span style=""color:#ffffff;""><strong><span style=""background-color:#001e74;"">&nbsp; &nbsp;DTCI Fullfilled&nbsp; &nbsp;</span></strong></span></p><p><strong>Inclusive ofall taxes</strong></p><p>Experience a healthier smile and a smoke-free life with Cipla Nicotex Nicotine Sugar Free Mint Plus Gums 2mg – your ally in quitting smoking. Perfect for patients dedicated to dental wellness, these gums not only fight nicotine cravings but also ensure your teeth stay free from sugar-related damages. Designed for ease, they offer a refreshing mint flavor to keep your breath fresh. At Dentaltourismclinicsindia, we prioritize your overall oral health and quitting smoking is a crucial step towards that goal. Choose Cipla Nicotex; choose a brighter, healthier future.</p>",b6120a_1b348828612a45b79170659109d2cd83~mv2.jpg;b6120a_17e3c37991814480b78f65acbb404b74~mv2.jpg;b6120a_3b059edb6cab4d8f8a5f6e4295af07dd~mv2.jpg;b6120a_7185b164898f47ed80aca3201cf0191b~mv2.jpg,Nicotex Gums,,,405.0,,true,PERCENT,4.0,InStock,,,,,,,,,,,,,,,,,,,,,No Returns or Exchange,"<p>Please note that all sales are final. We do not accept returns or offer refunds or exchanges once a purchase is made. Kindly ensure that you review all product details and specifications before completing your order. If you have any questions prior to purchasing, feel free to contact us.</p>
",,,,,,,,,,,,,,,,,Nicotex
